dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
TSIRANG,2024,Seasonal Naive,0.015016219007964078,0.009453469166666667,6.034110975901877,1.0410884228505624
TSIRANG,2024,Holt-Winters,0.01607165735510838,0.010142734380068377,6.35718493721628,1.1169955868022237
TSIRANG,2024,SARIMA,0.012297267665845404,0.009485424928991596,6.870902154162166,1.044607636127013
WANGDUE PHODRANG,2022,Seasonal Naive,0.030910564861304574,0.019899186666666673,7.1508459788197865,1.1267289012176345
WANGDUE PHODRANG,2022,Holt-Winters,0.028871796675348893,0.023002078264433914,8.904157200779718,1.3024203854533243
WANGDUE PHODRANG,2022,SARIMA,0.02641854631090867,0.02014837919644116,7.503717809791173,1.1408386449959957
WANGDUE PHODRANG,2023,Seasonal Naive,0.042055879346246786,0.03398103166666666,13.464452350840558,1.8898549375523042
WANGDUE PHODRANG,2023,Holt-Winters,0.03006438736300925,0.025365360146184623,10.421159246099169,1.410694401079135
WANGDUE PHODRANG,2023,SARIMA,0.034334726801611336,0.02696127444221852,10.819518216604294,1.4994511681442306
WANGDUE PHODRANG,2024,Seasonal Naive,0.01985458877098314,0.016521659999999994,6.932682235953271,0.8268769827828111
WANGDUE PHODRANG,2024,Holt-Winters,0.020123488403127172,0.015536048673456907,6.266055435731095,0.7775490508505166
WANGDUE PHODRANG,2024,SARIMA,0.018146023048060664,0.014614709578077744,5.9180100388099435,0.731437819212354
