Month,Dzongkhag,Forecast,lower_80,upper_80,lower_95,upper_95,Selected_Model
2026-03-01,PUNAKHA,0.12069703023751258,0.09548665735425357,0.14590740312077158,0.08214109209466051,0.15925296838036462,Holt-Winters
2026-04-01,PUNAKHA,0.1059400146024409,0.0807296417191819,0.1311503874856999,0.06738407645958884,0.14449595274529298,Holt-Winters
2026-05-01,PUNAKHA,0.10584421803284583,0.08063384514958682,0.13105459091610483,0.06728827988999377,0.1444001561756979,Holt-Winters
2026-06-01,PUNAKHA,0.10192801108145708,0.07671763819819807,0.12713838396471608,0.06337207293860501,0.14048394922430912,Holt-Winters
2026-07-01,PUNAKHA,0.10945835478833849,0.08424798190507948,0.1346687276715975,0.07090241664548642,0.14801429293119056,Holt-Winters
2026-08-01,PUNAKHA,0.10116829410495709,0.07595792122169809,0.1263786669882161,0.06261235596210503,0.13972423224780917,Holt-Winters
2026-09-01,PUNAKHA,0.10558809804987873,0.08037772516661973,0.13079847093313773,0.06703215990702667,0.1441440361927308,Holt-Winters
2026-10-01,PUNAKHA,0.10062353217973032,0.07541315929647131,0.1258339050629893,0.062067594036878254,0.13917947032258238,Holt-Winters
2026-11-01,PUNAKHA,0.09806208161138402,0.07285170872812502,0.12327245449464302,0.05950614346853196,0.1366180197542361,Holt-Winters
2026-12-01,PUNAKHA,0.11025985202640039,0.08504947914314138,0.13547022490965938,0.07170391388354833,0.14881579016925245,Holt-Winters
2026-01-01,SAMDRUPJONGKHAR,0.2974974,0.22047446675790106,0.374520333242099,0.17970098883959934,0.4152938111604007,Seasonal Naive
2026-02-01,SAMDRUPJONGKHAR,0.26399393,0.18697099675790102,0.34101686324209896,0.1461975188395993,0.38179034116040067,Seasonal Naive
2026-03-01,SAMDRUPJONGKHAR,0.26835467,0.19133173675790105,0.345377603242099,0.15055825883959933,0.3861510811604007,Seasonal Naive
2026-04-01,SAMDRUPJONGKHAR,0.28647729,0.20945435675790103,0.36350022324209896,0.1686808788395993,0.4042737011604007,Seasonal Naive
2026-05-01,SAMDRUPJONGKHAR,0.36057791,0.28355497675790103,0.43760084324209897,0.24278149883959932,0.4783743211604007,Seasonal Naive
2026-06-01,SAMDRUPJONGKHAR,0.3549648,0.27794186675790106,0.431987733242099,0.23716838883959934,0.4727612111604007,Seasonal Naive
2026-07-01,SAMDRUPJONGKHAR,0.510389,0.433366066757901,0.587411933242099,0.3925925888395993,0.6281854111604006,Seasonal Naive
2026-08-01,SAMDRUPJONGKHAR,0.56068382,0.4836608867579011,0.637706753242099,0.4428874088395994,0.6784802311604007,Seasonal Naive
2026-09-01,SAMDRUPJONGKHAR,0.48211218,0.40508924675790103,0.559135113242099,0.3643157688395993,0.5999085911604006,Seasonal Naive
2026-10-01,SAMDRUPJONGKHAR,0.47327549,0.39625255675790105,0.550298423242099,0.35547907883959934,0.5910719011604006,Seasonal Naive
2026-11-01,SAMDRUPJONGKHAR,0.36931924,0.292296306757901,0.44634217324209896,0.2515228288395993,0.4871156511604007,Seasonal Naive
2026-12-01,SAMDRUPJONGKHAR,0.27163201,0.194609076757901,0.34865494324209895,0.1538355988395993,0.38942842116040066,Seasonal Naive
2026-01-01,SAMTSE,0.20975351051553476,0.18330439659553152,0.236202624435538,0.16930308144195,0.2502039395891195,SARIMA
2026-02-01,SAMTSE,0.2135766875898521,0.18712757366984886,0.24002580150985534,0.17312625851626734,0.25402711666343686,SARIMA
2026-03-01,SAMTSE,0.19551853503499303,0.1690694211149898,0.22196764895499627,0.15506810596140827,0.2359689641085778,SARIMA
2026-04-01,SAMTSE,0.22087698947897072,0.19442787555896748,0.24732610339897396,0.18042656040538596,0.2613274185525555,SARIMA
2026-05-01,SAMTSE,0.24926686377228854,0.2228177498522853,0.2757159776922918,0.20881643469870378,0.28971729284587333,SARIMA
2026-06-01,SAMTSE,0.2686772278328789,0.24222811391287566,0.29512634175288216,0.22822679875929414,0.30912765690646365,SARIMA
2026-07-01,SAMTSE,0.2863983525886821,0.25994923866867886,0.3128474665086854,0.24594792351509737,0.3268487816622669,SARIMA
2026-08-01,SAMTSE,0.2981364658565854,0.2716873519365821,0.32458557977658864,0.2576860367830006,0.33858689493017013,SARIMA
2026-09-01,SAMTSE,0.3016580584693853,0.27520894454938205,0.3281071723893886,0.26120762939580056,0.3421084875429701,SARIMA
2026-10-01,SAMTSE,0.31554852307500075,0.2890994091549975,0.341997636995004,0.275098094001416,0.3559989521485855,SARIMA
2026-11-01,SAMTSE,0.2480816958426406,0.22163258192263735,0.2745308097626438,0.20763126676905583,0.2885321249162254,SARIMA
2026-12-01,SAMTSE,0.22602957783457245,0.1995804639145692,0.2524786917545757,0.1855791487609877,0.2664800069081572,SARIMA
2026-01-01,SARPANG,0.65457792,0.4860646767932481,0.8230911632067519,0.39685915433884694,0.9122966856611532,Seasonal Naive
2026-02-01,SARPANG,0.57247108,0.4039578367932481,0.7409843232067519,0.31475231433884693,0.8301898456611532,Seasonal Naive
2026-03-01,SARPANG,0.596814,0.428300756793248,0.7653272432067519,0.33909523433884686,0.854532765661153,Seasonal Naive
2026-04-01,SARPANG,0.748751,0.5802377567932482,0.9172642432067519,0.49103223433884696,1.0064697656611532,Seasonal Naive
2026-05-01,SARPANG,0.778924,0.610410756793248,0.9474372432067519,0.5212052343388469,1.036642765661153,Seasonal Naive
2026-06-01,SARPANG,0.867389,0.698875756793248,1.035902243206752,0.6096702343388469,1.125107765661153,Seasonal Naive
2026-07-01,SARPANG,1.100639,0.9321257567932479,1.269152243206752,0.8429202343388469,1.358357765661153,Seasonal Naive
2026-08-01,SARPANG,1.069208,0.900694756793248,1.237721243206752,0.8114892343388469,1.326926765661153,Seasonal Naive
2026-09-01,SARPANG,1.111139,0.9426257567932481,1.279652243206752,0.8534202343388471,1.3688577656611531,Seasonal Naive
2026-10-01,SARPANG,0.982365,0.8138517567932482,1.150878243206752,0.7246462343388469,1.2400837656611532,Seasonal Naive
2026-11-01,SARPANG,0.854835,0.686321756793248,1.023348243206752,0.597116234338847,1.112553765661153,Seasonal Naive
2026-12-01,SARPANG,0.611802,0.44328875679324803,0.7803152432067519,0.35408323433884686,0.869520765661153,Seasonal Naive
2026-01-01,THIMPHU,20.706134735650235,18.97922310688094,22.43304636441953,18.065051311564304,23.347218159736165,SARIMA
2026-02-01,THIMPHU,20.346390904845638,18.619479276076344,22.07330253361493,17.705307480759707,22.98747432893157,SARIMA
2026-03-01,THIMPHU,17.899900043607584,16.17298841483829,19.626811672376878,15.258816619521653,20.540983467693515,SARIMA
2026-04-01,THIMPHU,15.29618454371645,13.569272914947158,17.023096172485744,12.655101119630519,17.93726796780238,SARIMA
2026-05-01,THIMPHU,12.262566323578703,10.535654694809411,13.989477952347995,9.621482899492772,14.903649747664634,SARIMA
2026-06-01,THIMPHU,10.25178542984248,8.524873801073188,11.978697058611772,7.61070200575655,12.892868853928409,SARIMA
2026-07-01,THIMPHU,8.82608650121601,7.099174872446716,10.552998129985301,6.185003077130079,11.467169925301938,SARIMA
2026-08-01,THIMPHU,8.839670257032639,7.112758628263346,10.56658188580193,6.198586832946709,11.480753681118568,SARIMA
2026-09-01,THIMPHU,8.982953801992888,7.256042173223595,10.70986543076218,6.341870377906958,11.62403722607882,SARIMA
2026-10-01,THIMPHU,9.54003077171238,7.813119142943086,11.266942400481671,6.898947347626449,12.181114195798308,SARIMA
2026-11-01,THIMPHU,13.65172859890646,11.924816970137169,15.378640227675753,11.010645174820532,16.29281202299239,SARIMA
2026-12-01,THIMPHU,18.910207047627942,17.18329541885865,20.637118676397236,16.26912362354201,21.551290471713873,SARIMA
2026-01-01,TRASHIGANG,0.21072946415199492,0.16985498781302294,0.2516039404909669,0.14821734707048245,0.2732415812335074,SARIMA
2026-02-01,TRASHIGANG,0.20291197907143327,0.16203750273246129,0.24378645541040525,0.14039986198992077,0.26542409615294577,SARIMA
2026-03-01,TRASHIGANG,0.17736827972226477,0.13649380338329278,0.21824275606123675,0.11485616264075228,0.23988039680377726,SARIMA
2026-04-01,TRASHIGANG,0.14798632235691567,0.10711184601794368,0.18886079869588765,0.08547420527540318,0.21049843943842816,SARIMA
2026-05-01,TRASHIGANG,0.1312497655591832,0.09037528922021121,0.17212424189815517,0.06873764847767071,0.19376188264069566,SARIMA
2026-06-01,TRASHIGANG,0.13719134749787606,0.09631687115890408,0.17806582383684805,0.07467923041636358,0.19970346457938853,SARIMA
2026-07-01,TRASHIGANG,0.14640457654279848,0.1055301002038265,0.18727905288177046,0.083892459461286,0.20891669362431098,SARIMA
2026-08-01,TRASHIGANG,0.14725768187893015,0.10638320553995817,0.18813215821790213,0.08474556479741767,0.20976979896044262,SARIMA
2026-09-01,TRASHIGANG,0.14507646786907105,0.10420199153009907,0.18595094420804303,0.08256435078755857,0.20758858495058352,SARIMA
2026-10-01,TRASHIGANG,0.14503521084968915,0.10416073451071717,0.18590968718866113,0.08252309376817667,0.20754732793120162,SARIMA
2026-11-01,TRASHIGANG,0.13390150283122698,0.093027026492255,0.17477597917019896,0.0713893857497145,0.19641361991273948,SARIMA
2026-12-01,TRASHIGANG,0.1779817006688436,0.13710722432987163,0.2188561770078156,0.11546958358733113,0.2404938177503561,SARIMA
2026-01-01,TRASHIYANGTSE,0.17299,0.14917887693705273,0.19680112306294728,0.13657402978892577,0.20940597021107424,Seasonal Naive
2026-02-01,TRASHIYANGTSE,0.135789,0.11197787693705272,0.15960012306294727,0.09937302978892576,0.17220497021107423,Seasonal Naive
2026-03-01,TRASHIYANGTSE,0.164077,0.14026587693705272,0.18788812306294728,0.12766102978892577,0.20049297021107423,Seasonal Naive
2026-04-01,TRASHIYANGTSE,0.132835,0.10902387693705273,0.15664612306294728,0.09641902978892578,0.16925097021107424,Seasonal Naive
